iter	Passed	Remaining
0	147	147433
1	149	74455
2	150	50056
3	152	37867
4	153	30549
5	154	25638
6	156	22149
7	157	19538
8	158	17501
9	160	15881
10	161	14562
11	163	13449
12	164	12509
13	166	11698
14	167	10994
15	168	10379
16	170	9832
17	171	9345
18	172	8916
19	174	8542
20	175	8199
21	177	7886
22	178	7594
23	179	7319
24	181	7068
25	182	6842
26	184	6632
27	185	6434
28	186	6248
29	188	6086
30	189	5928
31	191	5777
32	192	5639
33	193	5504
34	195	5378
35	196	5258
36	197	5147
37	199	5039
38	200	4936
39	202	4851
40	203	4761
41	205	4679
42	206	4597
43	208	4526
44	209	4452
45	211	4379
46	212	4309
47	213	4242
48	215	4182
49	217	4125
50	218	4065
51	219	4009
52	221	3957
53	222	3901
54	224	3850
55	225	3799
56	226	3750
57	228	3705
58	229	3665
59	231	3622
60	232	3578
61	233	3537
62	235	3499
63	236	3462
64	238	3425
65	239	3389
66	240	3353
67	241	3309
68	242	3277
69	244	3248
70	245	3217
71	247	3187
72	248	3157
73	250	3130
74	251	3103
75	252	3074
76	254	3045
77	255	3016
78	256	2991
79	258	2968
80	259	2944
81	260	2918
82	262	2895
83	263	2872
84	264	2847
85	266	2827
86	267	2802
87	268	2781
88	269	2760
89	271	2742
90	272	2722
91	273	2703
92	275	2684
93	276	2667
94	278	2649
95	279	2632
96	281	2616
97	282	2599
98	283	2583
99	285	2568
100	286	2551
101	287	2530
102	288	2513
103	289	2497
104	291	2483
105	292	2468
106	294	2454
107	295	2440
108	297	2428
109	298	2415
110	299	2401
111	301	2386
112	302	2373
113	303	2359
114	304	2346
115	306	2332
116	307	2318
117	308	2307
118	309	2294
119	311	2284
120	312	2272
121	314	2262
122	315	2246
123	316	2236
124	317	2225
125	319	2214
126	320	2205
127	321	2191
128	323	2181
129	324	2172
130	326	2164
131	327	2154
132	329	2145
133	330	2135
134	332	2127
135	333	2119
136	335	2111
137	336	2101
138	337	2092
139	339	2083
140	340	2074
141	341	2064
142	342	2054
143	344	2045
144	345	2036
145	346	2027
146	347	2018
147	349	2010
148	350	2001
149	351	1993
150	353	1987
151	354	1979
152	356	1971
153	357	1963
154	358	1956
155	360	1947
156	361	1939
157	362	1931
158	363	1924
159	365	1916
160	366	1910
161	368	1905
162	369	1898
163	371	1892
164	372	1885
165	373	1878
166	375	1871
167	376	1864
168	377	1857
169	379	1851
170	380	1845
171	382	1839
172	383	1833
173	384	1826
174	386	1820
175	387	1815
176	389	1809
177	390	1803
178	391	1796
179	393	1792
180	394	1783
181	395	1777
182	397	1773
183	398	1768
184	400	1762
185	401	1756
186	402	1750
187	404	1745
188	405	1738
189	406	1733
190	408	1728
191	409	1722
192	411	1718
193	412	1713
194	413	1707
195	414	1702
196	416	1697
197	417	1692
198	419	1688
199	421	1684
200	422	1678
201	423	1673
202	424	1667
203	426	1662
204	427	1657
205	428	1652
206	430	1647
207	431	1643
208	433	1639
209	434	1635
210	436	1630
211	437	1625
212	438	1620
213	440	1616
214	441	1611
215	442	1607
216	444	1603
217	445	1598
218	447	1594
219	448	1590
220	450	1586
221	451	1583
222	453	1580
223	455	1576
224	456	1572
225	458	1569
226	459	1565
227	462	1566
228	464	1563
229	465	1559
230	467	1554
231	468	1551
232	470	1547
233	471	1543
234	473	1540
235	475	1538
236	476	1534
237	478	1531
238	479	1528
239	481	1524
240	483	1521
241	484	1517
242	486	1514
243	487	1511
244	489	1509
245	491	1506
246	492	1502
247	494	1499
248	495	1495
249	497	1491
250	498	1488
251	500	1485
252	502	1482
253	503	1479
254	505	1476
255	506	1472
256	508	1468
257	509	1465
258	510	1461
259	512	1457
260	513	1454
261	515	1451
262	516	1448
263	518	1444
264	519	1440
265	520	1436
266	521	1432
267	522	1428
268	524	1424
269	525	1420
270	526	1416
271	527	1412
272	529	1409
273	530	1406
274	532	1402
275	533	1399
276	534	1395
277	535	1392
278	537	1388
279	538	1385
280	540	1381
281	541	1378
282	542	1375
283	544	1372
284	545	1369
285	546	1365
286	548	1361
287	549	1358
288	550	1354
289	552	1351
290	553	1348
291	554	1345
292	556	1342
293	557	1339
294	559	1336
295	560	1332
296	561	1329
297	563	1326
298	564	1323
299	565	1320
300	566	1316
301	568	1313
302	569	1310
303	571	1307
304	572	1304
305	573	1301
306	575	1298
307	576	1295
308	577	1292
309	579	1288
310	580	1285
311	581	1282
312	583	1279
313	584	1276
314	585	1273
315	586	1270
316	588	1267
317	589	1264
318	590	1261
319	592	1258
320	593	1255
321	594	1252
322	595	1249
323	597	1246
324	599	1244
325	600	1241
326	601	1238
327	603	1235
328	604	1232
329	605	1229
330	606	1226
331	608	1223
332	609	1220
333	611	1218
334	612	1215
335	613	1212
336	615	1209
337	616	1207
338	617	1204
339	619	1202
340	620	1199
341	622	1196
342	623	1194
343	624	1191
344	626	1189
345	627	1186
346	629	1183
347	630	1180
348	631	1177
349	632	1175
350	634	1172
351	635	1169
352	636	1166
353	637	1164
354	639	1161
355	640	1159
356	642	1156
357	643	1154
358	644	1151
359	646	1148
360	647	1146
361	648	1143
362	650	1140
363	651	1137
364	652	1135
365	654	1133
366	655	1130
367	656	1127
368	657	1125
369	659	1122
370	660	1119
371	661	1117
372	663	1114
373	664	1112
374	665	1109
375	667	1107
376	668	1105
377	670	1102
378	671	1100
379	672	1097
380	673	1094
381	675	1092
382	676	1090
383	678	1088
384	679	1085
385	680	1082
386	682	1080
387	683	1078
388	684	1075
389	686	1073
390	687	1070
391	688	1068
392	689	1065
393	691	1063
394	693	1061
395	694	1058
396	695	1056
397	697	1055
398	699	1053
399	700	1051
400	702	1048
401	703	1046
402	704	1043
403	706	1041
404	707	1039
405	709	1037
406	710	1035
407	712	1033
408	713	1030
409	714	1028
410	715	1026
411	717	1023
412	718	1021
413	719	1018
414	721	1016
415	722	1014
416	723	1011
417	725	1009
418	726	1007
419	727	1004
420	729	1002
421	730	1000
422	731	997
423	732	995
424	733	992
425	734	990
426	736	988
427	737	985
428	739	984
429	740	982
430	741	979
431	743	977
432	744	974
433	745	972
434	746	969
435	747	967
436	749	965
437	750	962
438	751	960
439	753	958
440	754	956
441	756	954
442	757	952
443	758	950
444	760	948
445	761	946
446	762	943
447	764	941
448	766	940
449	767	937
450	768	935
451	770	933
452	771	931
453	772	929
454	773	926
455	774	924
456	776	922
457	777	920
458	778	917
459	780	915
460	781	913
461	782	911
462	783	909
463	785	907
464	786	904
465	787	902
466	788	900
467	789	897
468	791	895
469	792	893
470	793	891
471	794	889
472	796	887
473	797	885
474	798	882
475	800	880
476	801	878
477	802	876
478	803	874
479	804	871
480	805	869
481	807	867
482	808	865
483	809	863
484	811	861
485	812	859
486	813	857
487	814	855
488	816	852
489	817	850
490	818	848
491	819	846
492	820	843
493	821	841
494	823	839
495	824	837
496	825	835
497	827	833
498	828	831
499	829	829
500	830	827
501	832	825
502	833	823
503	834	821
504	835	819
